clase q1 med q3
sm/cc 64.0 81.4 107.1
aa/gc 76.9 93.1 118.1
sb/spc 127.2 161.7 220.6
sm/fs 148.2 189.0 259.8
sb/ppc 145.7 205.0 302.9
aa/hm 194.7 227.8 266.6
aa/sc 212.4 232.0 266.1
sm/hic 185.7 266.2 364.2
pt/sqc 236.6 266.5 314.4
as/bc 259.0 322.2 397.5
ac/bc 240.0 344.9 497.9
lw/ta 311.8 418.4 549.1
lw/vc 327.5 418.7 485.8
sb/sc 349.4 428.6 576.2
lw/cs 336.9 430.2 503.6
lw/trino 353.6 534.0 730.1
sm/pc 404.2 550.2 822.7
sm/sc 354.8 585.5 821.6
sb/pcc 496.2 725.9 1059.0
lw/sqc 604.6 811.9 1047.9
ac/gc 657.1 1011.6 1921.9
ac/sc 867.1 1179.5 1421.5
ac/chc 864.7 1189.1 1582.6
pt/dc 4759.0 6678.1 9549.3
as/hc 7129.2 11023.6 15870.7
