Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species	Call type	Score
1	Spectrogram 1	1	0.0022491217	3.0	39.55848	842.8851	AS	HC	0.89203006
2	Spectrogram 1	1	1.5	1.9139982	6440.0293	8394.166	LW	CS	0.7390417
3	Spectrogram 1	1	1.9646297	2.4805002	6543.728	8086.413	LW	CS	0.5850671
4	Spectrogram 1	1	2.5517027	2.907086	6363.5664	7506.6943	LW	CS	0.34051922
5	Spectrogram 1	1	3.001655	6.0	29.200937	951.3418	AS	HC	0.9312637
6	Spectrogram 1	1	6.0025997	8.997398	29.786522	1007.59973	AS	HC	0.9229044
7	Spectrogram 1	1	8.174545	8.5946455	6694.776	13398.843	LW	TRINO	0.56761295
8	Spectrogram 1	1	9.009302	11.997809	52.241116	796.87994	AS	HC	0.76999336
9	Spectrogram 1	1	10.697962	11.427053	6685.762	12336.555	LW	TRINO	0.21386427
10	Spectrogram 1	1	11.813377	11.998845	103.4523	829.1759	AS	BC	0.35743916
11	Spectrogram 1	1	12.0	14.987271	38.476456	849.80554	AS	HC	0.30534837
12	Spectrogram 1	1	12.110982	12.357024	45.492985	858.4803	AS	BC	0.3703845
13	Spectrogram 1	1	12.991619	13.418395	59.44396	811.7978	AS	BC	0.60465425
14	Spectrogram 1	1	13.50006	13.719735	35.860542	765.4145	AS	BC	0.5543765
15	Spectrogram 1	1	13.843065	14.231506	6796.634	7999.498	LW	CS	0.51102793
16	Spectrogram 1	1	14.107225	16.499432	65.95548	754.69775	AS	HC	0.5339979
17	Spectrogram 1	1	14.379646	14.846457	6354.1274	7835.8843	LW	CS	0.6442234
18	Spectrogram 1	1	15.0	15.328677	5989.162	7122.3076	LW	CS	0.59089446
19	Spectrogram 1	1	15.74395	16.017069	9058.079	10261.844	LW	CS	0.23378827
20	Spectrogram 1	1	16.069494	16.327478	8588.765	9594.455	LW	CS	0.36556992
21	Spectrogram 1	1	16.50329	19.5	64.56765	770.73535	AS	HC	0.83428395
22	Spectrogram 1	1	16.775965	17.137108	7429.7124	8580.965	LW	CS	0.6346727
23	Spectrogram 1	1	17.232708	17.822208	7158.094	8568.93	LW	CS	0.69439983
24	Spectrogram 1	1	17.866104	18.286282	6537.4814	7859.4165	LW	CS	0.45513073
25	Spectrogram 1	1	17.939606	18.0	8647.567	10405.055	LW	CS	0.16583149
26	Spectrogram 1	1	19.502434	22.499434	59.44365	789.5947	AS	HC	0.87219906
27	Spectrogram 1	1	22.007692	22.49635	8036.604	10492.922	LW	CS	0.6968848
28	Spectrogram 1	1	22.5	25.499687	57.77665	809.22253	AS	HC	0.87895626
29	Spectrogram 1	1	22.576038	23.023579	8025.637	10186.232	LW	CS	0.6724824
30	Spectrogram 1	1	23.065714	23.51262	8096.786	9618.881	LW	CS	0.41668954
31	Spectrogram 1	1	23.570482	23.877289	7850.2017	8823.359	LW	CS	0.3148188
32	Spectrogram 1	1	24.0	26.999886	26.842985	1053.2671	AS	HC	0.9379831
33	Spectrogram 1	1	27.000282	29.999218	32.111313	943.5836	AS	HC	0.87646663
