split,grabación,clase,score,inicio,fin,f mín (Hz),f máx (Hz),duración (s),banda (Hz),compatible,hueco a su clase (s),raw_estado,raw_clase,raw_call
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.6011747717857361,6.9198,7.0801945,621.9554571822486,3946.484335208457,0.16039467,3324.5288780262085,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.6271295547485352,6.920466,7.0787854,613.5574335434289,3999.018206244406,0.15831935,3385.460772700977,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.2608426511287689,7.2544236,7.409789,614.3428246585984,3474.9823295092096,0.1553657,2860.639504850611,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.39335018396377563,15.268143,15.391089,607.2911763823826,3297.1516872387533,0.122946784,2689.8605108563706,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.47493797540664673,15.269457,15.385501,645.1802245916713,3082.5327648418156,0.11604452,2437.3525402501446,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.17067518830299377,15.584721,15.724227,651.3477848466924,3505.1053743305056,0.13950661,2853.7575894838133,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.32732856273651123,15.5852585,15.723449,708.3336248124133,3460.7709365319256,0.13818955,2752.4373117195123,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/fs,0.19508247077465057,15.588343,15.723991,733.0665070124928,3529.3949707767206,0.13564897,2796.3284637642278,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/fs,0.44378191232681274,15.912715,16.07553,725.3768634668459,3568.3593546071047,0.1628133,2842.982491140259,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/fs,0.6803056001663208,15.916365,16.07107,788.6312407300239,3548.559338914316,0.15470624,2759.928098184292,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.22848810255527496,15.916737,16.081593,768.1821391210638,3640.945434046877,0.16485679,2872.763294925813,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.244050070643425,15.917119,16.073591,806.9739096443781,3502.458795797294,0.1564722,2695.484886152916,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/fs,0.3689259886741638,16.248512,16.476416,860.8004394309373,3796.920872499701,0.22790283,2936.1204330687638,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/fs,0.680004358291626,16.25121,16.471224,894.497928508211,3630.906288288974,0.22001338,2736.408359780763,False,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,lw/trino,0.4482751190662384,18.003181,18.5544,8774.080839693592,13200.080593427827,0.5512181,4425.999753734235,True,inf,limpia,sb/pcc,PCC
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,lw/trino,0.19118599593639374,20.505829,21.30722,8415.49369064772,13156.467963179219,0.80139166,4740.974272531499,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sb/spc,0.20081821084022522,26.625881,26.796871,690.3451426520644,19554.191782258917,0.17098975,18863.84663960685,True,inf,sin fila,,
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sm/cc,0.21179375052452087,27.706427,27.828741,514.9896850488747,3655.972643402899,0.12231374,3140.982958354024,True,inf,sin fila,,
