epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.054,2.33627,3.54135,1.68029,0.38243,0.35983,0.35526,0.15922,1.936,2.43775,1.67903,0.000475215,0.000475215,0.000475215
2,149.925,2.19209,2.63406,1.57737,0.42511,0.55361,0.43253,0.18247,1.87905,1.93872,1.66505,0.000942128,0.000942128,0.000942128
3,194.717,2.15925,2.27074,1.56248,0.48888,0.49896,0.44997,0.17539,1.93885,2.14532,1.73095,0.00139961,0.00139961,0.00139961
4,237.427,2.18384,2.1065,1.53264,0.51347,0.51128,0.46842,0.20605,1.90098,1.91633,1.66696,0.00138656,0.00138656,0.00138656
5,281.452,2.10802,2.01548,1.54525,0.59339,0.48324,0.50348,0.21505,2.02516,1.97283,1.66909,0.00137241,0.00137241,0.00137241
6,325.288,2.08373,1.91489,1.49873,0.48125,0.51671,0.4671,0.18412,1.91353,1.84809,1.68218,0.00135826,0.00135826,0.00135826
7,371.921,2.01524,1.83058,1.51077,0.56156,0.5637,0.55417,0.25308,1.80651,1.7448,1.59825,0.00134412,0.00134412,0.00134412
8,416.559,2.04019,1.80702,1.47966,0.56724,0.58541,0.57477,0.27314,1.75224,1.69744,1.53993,0.00132997,0.00132997,0.00132997
9,458.838,2.04929,1.75972,1.46158,0.55484,0.58598,0.55292,0.26239,1.83043,1.71359,1.57952,0.00131582,0.00131582,0.00131582
10,503.429,2.00526,1.75825,1.45734,0.61196,0.6115,0.59397,0.26238,1.80428,1.61959,1.5569,0.00130168,0.00130168,0.00130168
11,548.054,2.01161,1.72661,1.45038,0.51547,0.52436,0.51772,0.24302,1.82308,1.78138,1.57602,0.00128753,0.00128753,0.00128753
12,590.482,1.96287,1.69492,1.43482,0.5942,0.61532,0.60997,0.30888,1.65573,1.61332,1.49939,0.00127338,0.00127338,0.00127338
13,633.186,1.95094,1.65862,1.43569,0.57778,0.59391,0.58139,0.29202,1.69699,1.587,1.51788,0.00125923,0.00125923,0.00125923
14,676.582,1.96716,1.64977,1.40453,0.58083,0.5913,0.57306,0.28158,1.7164,1.5898,1.52242,0.00124509,0.00124509,0.00124509
15,723.893,1.91622,1.63805,1.43099,0.56126,0.57784,0.55778,0.25174,1.8383,1.63934,1.61484,0.00123094,0.00123094,0.00123094
16,767.158,1.9196,1.63554,1.40894,0.6119,0.6113,0.60887,0.29571,1.74595,1.52136,1.54143,0.00121679,0.00121679,0.00121679
17,808.824,1.90663,1.57495,1.39911,0.60621,0.59149,0.58632,0.26421,1.79725,1.54058,1.58561,0.00120265,0.00120265,0.00120265
18,851.38,1.88317,1.54551,1.39417,0.59014,0.65301,0.62463,0.30866,1.67825,1.46619,1.4847,0.0011885,0.0011885,0.0011885
19,894.951,1.9165,1.53709,1.37482,0.5898,0.56675,0.56607,0.25771,1.82796,1.66169,1.56639,0.00117435,0.00117435,0.00117435
20,941.08,1.85736,1.56597,1.40707,0.64638,0.56754,0.58954,0.27171,1.74543,1.57822,1.55015,0.00116021,0.00116021,0.00116021
21,985.501,1.93372,1.54876,1.38227,0.60901,0.55878,0.55418,0.24305,1.91745,1.63819,1.64795,0.00114606,0.00114606,0.00114606
22,1028.31,1.95146,1.55859,1.36172,0.63303,0.63467,0.64517,0.3166,1.67922,1.42508,1.49852,0.00113191,0.00113191,0.00113191
23,1070.53,1.86875,1.51397,1.36808,0.61928,0.65662,0.64786,0.32508,1.69591,1.43311,1.4889,0.00111776,0.00111776,0.00111776
24,1115.52,1.87829,1.50436,1.35089,0.61419,0.63068,0.6281,0.32083,1.65848,1.43597,1.49864,0.00110362,0.00110362,0.00110362
25,1157.4,1.83422,1.47672,1.35689,0.60215,0.64755,0.62083,0.31933,1.64829,1.42557,1.45492,0.00108947,0.00108947,0.00108947
26,1201.5,1.83146,1.48806,1.35918,0.62921,0.63664,0.62865,0.31697,1.68505,1.45365,1.49048,0.00107532,0.00107532,0.00107532
27,1244.03,1.79448,1.43627,1.34666,0.62428,0.64459,0.62624,0.31591,1.62731,1.48004,1.45503,0.00106118,0.00106118,0.00106118
28,1286.42,1.85391,1.48289,1.35473,0.64229,0.61412,0.62179,0.31335,1.68201,1.47542,1.49949,0.00104703,0.00104703,0.00104703
29,1328.37,1.86545,1.48458,1.35051,0.58397,0.62053,0.60117,0.29946,1.70424,1.47719,1.53447,0.00103288,0.00103288,0.00103288
30,1374.24,1.83894,1.46216,1.36487,0.59752,0.66387,0.64928,0.31575,1.6772,1.41774,1.51191,0.00101873,0.00101873,0.00101873
31,1420.85,1.78176,1.40394,1.34121,0.60175,0.63045,0.60657,0.29034,1.75685,1.44374,1.55031,0.00100459,0.00100459,0.00100459
32,1466.19,1.81652,1.42383,1.34693,0.60375,0.63661,0.62915,0.3104,1.72008,1.4295,1.51572,0.00099044,0.00099044,0.00099044
33,1508.77,1.75965,1.40656,1.33277,0.60392,0.62643,0.63037,0.32467,1.66581,1.42011,1.48375,0.000976293,0.000976293,0.000976293
34,1551.15,1.79729,1.41833,1.33513,0.59947,0.61833,0.60087,0.2974,1.71863,1.49209,1.53963,0.000962146,0.000962146,0.000962146
35,1594.17,1.87368,1.43952,1.32293,0.6305,0.63518,0.62588,0.3158,1.69511,1.42832,1.512,0.000947999,0.000947999,0.000947999
36,1638,1.77811,1.40436,1.32662,0.62821,0.66039,0.66747,0.3541,1.59729,1.35035,1.44516,0.000933851,0.000933851,0.000933851
37,1681.94,1.80642,1.42291,1.31842,0.62082,0.68629,0.66455,0.35472,1.60132,1.32339,1.46854,0.000919704,0.000919704,0.000919704
38,1723.58,1.78186,1.38922,1.30365,0.63471,0.63859,0.65179,0.33354,1.64761,1.35701,1.4769,0.000905557,0.000905557,0.000905557
39,1768.45,1.7744,1.39869,1.33522,0.61941,0.646,0.64915,0.32479,1.6668,1.38117,1.45565,0.00089141,0.00089141,0.00089141
40,1812.75,1.77189,1.36177,1.3129,0.64978,0.64343,0.66367,0.34485,1.62148,1.32532,1.44427,0.000877263,0.000877263,0.000877263
41,1856.92,1.785,1.38471,1.30453,0.616,0.63244,0.63158,0.31719,1.72467,1.4012,1.53445,0.000863116,0.000863116,0.000863116
42,1900.15,1.84142,1.37934,1.30589,0.60837,0.6444,0.6342,0.32114,1.70028,1.40723,1.49997,0.000848969,0.000848969,0.000848969
43,1944.87,1.79077,1.37223,1.29107,0.60631,0.5726,0.59195,0.27737,1.76992,1.49289,1.54218,0.000834822,0.000834822,0.000834822
44,1986.9,1.75771,1.36659,1.30099,0.63926,0.67061,0.66001,0.3501,1.62785,1.33901,1.4801,0.000820675,0.000820675,0.000820675
45,2028.8,1.74464,1.33612,1.29094,0.64324,0.67324,0.67534,0.35501,1.59488,1.29731,1.44684,0.000806528,0.000806528,0.000806528
46,2070.06,1.71959,1.31209,1.28221,0.62928,0.6559,0.66536,0.34539,1.58865,1.38476,1.42288,0.00079238,0.00079238,0.00079238
47,2113.27,1.74299,1.34699,1.28927,0.62367,0.67739,0.65805,0.34446,1.62594,1.33422,1.46581,0.000778233,0.000778233,0.000778233
48,2156.43,1.69591,1.2982,1.29157,0.65249,0.59908,0.63224,0.32935,1.64844,1.3893,1.47725,0.000764086,0.000764086,0.000764086
49,2199.68,1.74143,1.32666,1.29075,0.6259,0.69199,0.66632,0.34974,1.59248,1.29521,1.44963,0.000749939,0.000749939,0.000749939
50,2244.07,1.6766,1.29575,1.30795,0.65425,0.64196,0.64546,0.33459,1.66326,1.3373,1.48756,0.000735792,0.000735792,0.000735792
51,2285.74,1.70345,1.28082,1.27963,0.63943,0.65361,0.65708,0.34426,1.61395,1.31084,1.46476,0.000721645,0.000721645,0.000721645
52,2340.85,1.68156,1.28425,1.27742,0.63955,0.68056,0.67124,0.35198,1.58308,1.2845,1.45371,0.000707498,0.000707498,0.000707498
53,2383.53,1.67921,1.28161,1.28346,0.63436,0.65867,0.66164,0.34209,1.62633,1.32312,1.46601,0.000693351,0.000693351,0.000693351
54,2424.66,1.69159,1.26405,1.27588,0.6417,0.66712,0.65537,0.3455,1.60287,1.29661,1.44691,0.000679204,0.000679204,0.000679204
55,2468.36,1.65289,1.26045,1.27708,0.6544,0.68449,0.68614,0.35923,1.59522,1.2573,1.45085,0.000665057,0.000665057,0.000665057
56,2513.67,1.69714,1.2882,1.2783,0.63686,0.65691,0.65556,0.34473,1.64077,1.28034,1.48683,0.000650909,0.000650909,0.000650909
57,2555.22,1.68147,1.26454,1.26415,0.7001,0.63901,0.69175,0.3781,1.57383,1.23582,1.42119,0.000636762,0.000636762,0.000636762
58,2594.81,1.66595,1.25213,1.25728,0.64165,0.68845,0.6751,0.3665,1.60988,1.28259,1.44724,0.000622615,0.000622615,0.000622615
59,2637.7,1.616,1.22105,1.27056,0.6652,0.63888,0.67152,0.35272,1.64607,1.27524,1.51854,0.000608468,0.000608468,0.000608468
60,2679.72,1.67635,1.24407,1.25049,0.67345,0.66293,0.68116,0.36495,1.60311,1.25979,1.45009,0.000594321,0.000594321,0.000594321
61,2722.82,1.66914,1.24323,1.25054,0.64478,0.66316,0.67004,0.34171,1.63759,1.29879,1.50642,0.000580174,0.000580174,0.000580174
62,2765.93,1.6577,1.22741,1.24077,0.65107,0.66859,0.67452,0.36287,1.58816,1.27789,1.4385,0.000566027,0.000566027,0.000566027
63,2807.63,1.61059,1.18577,1.23744,0.63247,0.66385,0.65936,0.34372,1.63984,1.33006,1.48858,0.00055188,0.00055188,0.00055188
64,2855.27,1.66075,1.22071,1.23971,0.66188,0.64303,0.65704,0.32813,1.65909,1.32397,1.52023,0.000537733,0.000537733,0.000537733
65,2905.59,1.60457,1.19674,1.24552,0.63381,0.68736,0.67712,0.34775,1.63122,1.26763,1.4839,0.000523586,0.000523586,0.000523586
66,2945.7,1.71919,1.23742,1.22737,0.6519,0.66525,0.67034,0.3495,1.61563,1.28526,1.47129,0.000509438,0.000509438,0.000509438
67,2987.63,1.59348,1.16885,1.23528,0.66476,0.69799,0.6942,0.37222,1.55613,1.22305,1.41481,0.000495291,0.000495291,0.000495291
68,3028.26,1.6374,1.19975,1.22806,0.67966,0.66813,0.70051,0.37173,1.55929,1.24642,1.42382,0.000481144,0.000481144,0.000481144
